"Site ID","Sector ID","Antenna ID","Port Name","Downlink","Uplink"
"Site_1054","1","1","Port 1","False","False"
"Site_1054","1","1","Port 2","True","True"
"Site_1054","2","2","Port 1","False","False"
"Site_1054","2","2","Port 2","True","True"
"Site_1054","3","3","Port 1","False","False"
"Site_1054","3","3","Port 2","True","True"
"Site_1055","1","1","Port 1","False","False"
"Site_1055","1","1","Port 2","True","True"
"Site_1055","2","2","Port 1","False","False"
"Site_1055","2","2","Port 2","True","True"
"Site_1055","3","3","Port 1","False","False"
"Site_1055","3","3","Port 2","True","True"
"Site_1056","1","1","Port 1","False","False"
"Site_1056","1","1","Port 2","True","True"
"Site_1056","2","2","Port 1","False","False"
"Site_1056","2","2","Port 2","True","True"
"Site_1056","3","3","Port 1","False","False"
"Site_1056","3","3","Port 2","True","True"
"Site_1057","1","1","Port 1","False","False"
"Site_1057","1","1","Port 2","True","True"
"Site_1057","2","2","Port 1","False","False"
"Site_1057","2","2","Port 2","True","True"
"Site_1057","3","3","Port 1","False","False"
"Site_1057","3","3","Port 2","True","True"
"Site_1058","1","1","Port 1","False","False"
"Site_1058","1","1","Port 2","True","True"
"Site_1058","2","2","Port 1","False","False"
"Site_1058","2","2","Port 2","True","True"
"Site_1058","3","3","Port 1","False","False"
"Site_1058","3","3","Port 2","True","True"
"Site_1059","1","1","Port 1","False","False"
"Site_1059","1","1","Port 2","True","True"
"Site_1059","2","2","Port 1","False","False"
"Site_1059","2","2","Port 2","True","True"
"Site_1059","3","3","Port 1","False","False"
"Site_1059","3","3","Port 2","True","True"
"Site_106","1","1","Port 1","False","False"
"Site_106","1","1","Port 2","True","True"
"Site_106","2","2","Port 1","False","False"
"Site_106","2","2","Port 2","True","True"
"Site_106","3","3","Port 1","False","False"
"Site_106","3","3","Port 2","True","True"
"Site_1060","1","1","Port 1","False","False"
"Site_1060","1","1","Port 2","True","True"
"Site_1060","2","2","Port 1","False","False"
"Site_1060","2","2","Port 2","True","True"
"Site_1060","3","3","Port 1","False","False"
"Site_1060","3","3","Port 2","True","True"
"Site_1061","1","1","Port 1","False","False"
"Site_1061","1","1","Port 2","True","True"
"Site_1061","2","2","Port 1","False","False"
"Site_1061","2","2","Port 2","True","True"
"Site_1061","3","3","Port 1","False","False"
"Site_1061","3","3","Port 2","True","True"
"Site_1062","1","1","Port 1","False","False"
"Site_1062","1","1","Port 2","True","True"
"Site_1062","2","2","Port 1","False","False"
"Site_1062","2","2","Port 2","True","True"
"Site_1062","3","3","Port 1","False","False"
"Site_1062","3","3","Port 2","True","True"
"Site_1063","1","1","Port 1","False","False"
"Site_1063","1","1","Port 2","True","True"
"Site_1063","2","2","Port 1","False","False"
"Site_1063","2","2","Port 2","True","True"
"Site_1063","3","3","Port 1","False","False"
"Site_1063","3","3","Port 2","True","True"
"Site_1064","1","1","Port 1","False","False"
"Site_1064","1","1","Port 2","True","True"
"Site_1064","2","2","Port 1","False","False"
"Site_1064","2","2","Port 2","True","True"
"Site_1064","3","3","Port 1","False","False"
"Site_1064","3","3","Port 2","True","True"
"Site_1065","1","1","Port 1","False","False"
"Site_1065","1","1","Port 2","True","True"
"Site_1065","2","2","Port 1","False","False"
"Site_1065","2","2","Port 2","True","True"
"Site_1065","3","3","Port 1","False","False"
"Site_1065","3","3","Port 2","True","True"
"Site_1066","1","1","Port 1","False","False"
"Site_1066","1","1","Port 2","True","True"
"Site_1066","2","2","Port 1","False","False"
"Site_1066","2","2","Port 2","True","True"
"Site_1066","3","3","Port 1","False","False"
"Site_1066","3","3","Port 2","True","True"
"Site_1067","1","1","Port 1","False","False"
"Site_1067","1","1","Port 2","True","True"
"Site_1067","2","2","Port 1","False","False"
"Site_1067","2","2","Port 2","True","True"
"Site_1067","3","3","Port 1","False","False"
"Site_1067","3","3","Port 2","True","True"
"Site_1068","1","1","Port 1","False","False"
"Site_1068","1","1","Port 2","True","True"
"Site_1068","2","2","Port 1","False","False"
"Site_1068","2","2","Port 2","True","True"
"Site_1068","3","3","Port 1","False","False"
"Site_1068","3","3","Port 2","True","True"
"Site_1069","1","1","Port 1","False","False"
"Site_1069","1","1","Port 2","True","True"
"Site_1069","2","2","Port 1","False","False"
"Site_1069","2","2","Port 2","True","True"
"Site_1069","3","3","Port 1","False","False"
"Site_1069","3","3","Port 2","True","True"
"Site_107","1","1","Port 1","False","False"
"Site_107","1","1","Port 2","True","True"
"Site_107","2","2","Port 1","False","False"
"Site_107","2","2","Port 2","True","True"
"Site_107","3","3","Port 1","False","False"
"Site_107","3","3","Port 2","True","True"
"Site_1070","1","1","Port 1","False","False"
"Site_1070","1","1","Port 2","True","True"
"Site_1070","2","2","Port 1","False","False"
"Site_1070","2","2","Port 2","True","True"
"Site_1070","3","3","Port 1","False","False"
"Site_1070","3","3","Port 2","True","True"
"Site_1071","1","1","Port 1","False","False"
"Site_1071","1","1","Port 2","True","True"
"Site_1071","2","2","Port 1","False","False"
"Site_1071","2","2","Port 2","True","True"
"Site_1071","3","3","Port 1","False","False"
"Site_1071","3","3","Port 2","True","True"
"Site_1072","1","1","Port 1","False","False"
"Site_1072","1","1","Port 2","True","True"
"Site_1072","2","2","Port 1","False","False"
"Site_1072","2","2","Port 2","True","True"
"Site_1072","3","3","Port 1","False","False"
"Site_1072","3","3","Port 2","True","True"
"Site_1073","1","1","Port 1","False","False"
"Site_1073","1","1","Port 2","True","True"
"Site_1073","2","2","Port 1","False","False"
"Site_1073","2","2","Port 2","True","True"
"Site_1073","3","3","Port 1","False","False"
"Site_1073","3","3","Port 2","True","True"
"Site_1074","1","1","Port 1","False","False"
"Site_1074","1","1","Port 2","True","True"
"Site_1074","2","2","Port 1","False","False"
"Site_1074","2","2","Port 2","True","True"
"Site_1074","3","3","Port 1","False","False"
"Site_1074","3","3","Port 2","True","True"
"Site_1075","1","1","Port 1","False","False"
"Site_1075","1","1","Port 2","True","True"
"Site_1075","2","2","Port 1","False","False"
"Site_1075","2","2","Port 2","True","True"
"Site_1075","3","3","Port 1","False","False"
"Site_1075","3","3","Port 2","True","True"
"Site_1076","1","1","Port 1","False","False"
"Site_1076","1","1","Port 2","True","True"
"Site_1076","2","2","Port 1","False","False"
"Site_1076","2","2","Port 2","True","True"
"Site_1076","3","3","Port 1","False","False"
"Site_1076","3","3","Port 2","True","True"
"Site_1077","1","1","Port 1","False","False"
"Site_1077","1","1","Port 2","True","True"
"Site_1077","2","2","Port 1","False","False"
"Site_1077","2","2","Port 2","True","True"
"Site_1077","3","3","Port 1","False","False"
"Site_1077","3","3","Port 2","True","True"
"Site_1078","1","1","Port 1","False","False"
"Site_1078","1","1","Port 2","True","True"
"Site_1078","2","2","Port 1","False","False"
"Site_1078","2","2","Port 2","True","True"
"Site_1078","3","3","Port 1","False","False"
"Site_1078","3","3","Port 2","True","True"
"Site_1079","1","1","Port 1","False","False"
"Site_1079","1","1","Port 2","True","True"
"Site_1079","2","2","Port 1","False","False"
"Site_1079","2","2","Port 2","True","True"
"Site_1079","3","3","Port 1","False","False"
"Site_1079","3","3","Port 2","True","True"
"Site_108","1","1","Port 1","False","False"
"Site_108","1","1","Port 2","True","True"
"Site_108","2","2","Port 1","False","False"
"Site_108","2","2","Port 2","True","True"
"Site_108","3","3","Port 1","False","False"
