"Site ID","BTS Name","MCC","MNC","Maximum Pooled Throughput (Mbps)","eNodeB ID","Base Station Type"
"Site_1243","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1244","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1245","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1246","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1247","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1248","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1249","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_125","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1250","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1251","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1252","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1253","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1254","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1255","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1256","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1257","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1258","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1259","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_126","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1260","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1261","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1262","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1263","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1264","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1265","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1266","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1267","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1268","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1269","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_127","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1270","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1271","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1272","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1273","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1274","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1275","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1276","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1277","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1278","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1279","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_128","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1280","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1281","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1282","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1283","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1284","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1285","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1286","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1287","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1288","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1289","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_129","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1290","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1291","LTE FDD","0","0","100","","LTE FDD_BTS_1"
