"Site ID","Sector ID","Antenna ID","MIMO Group","Horizontal Beamwidth","Vertical Beamwidth","Link Configuration ID","Cable Length (m)","Power Split (%)","Downlink Beamforming Configuration","Uplink Beamforming Configuration"
"Site_1051","2","2","1","65","62","Default","25","100","None","None"
"Site_1051","3","3","1","65","62","Default","25","100","None","None"
"Site_1052","1","1","1","65","62","Default","25","100","None","None"
"Site_1052","2","2","1","65","62","Default","25","100","None","None"
"Site_1052","3","3","1","65","62","Default","25","100","None","None"
"Site_1053","1","1","1","65","62","Default","25","100","None","None"
"Site_1053","2","2","1","65","62","Default","25","100","None","None"
"Site_1053","3","3","1","65","62","Default","25","100","None","None"
"Site_1054","1","1","1","65","62","Default","25","100","None","None"
"Site_1054","2","2","1","65","62","Default","25","100","None","None"
"Site_1054","3","3","1","65","62","Default","25","100","None","None"
"Site_1055","1","1","1","65","62","Default","25","100","None","None"
"Site_1055","2","2","1","65","62","Default","25","100","None","None"
"Site_1055","3","3","1","65","62","Default","25","100","None","None"
"Site_1056","1","1","1","65","62","Default","25","100","None","None"
"Site_1056","2","2","1","65","62","Default","25","100","None","None"
"Site_1056","3","3","1","65","62","Default","25","100","None","None"
"Site_1057","1","1","1","65","62","Default","25","100","None","None"
"Site_1057","2","2","1","65","62","Default","25","100","None","None"
"Site_1057","3","3","1","65","62","Default","25","100","None","None"
"Site_1058","1","1","1","65","62","Default","25","100","None","None"
"Site_1058","2","2","1","65","62","Default","25","100","None","None"
"Site_1058","3","3","1","65","62","Default","25","100","None","None"
"Site_1059","1","1","1","65","62","Default","25","100","None","None"
"Site_1059","2","2","1","65","62","Default","25","100","None","None"
"Site_1059","3","3","1","65","62","Default","25","100","None","None"
"Site_106","1","1","1","65","62","Default","25","100","None","None"
"Site_106","2","2","1","65","62","Default","25","100","None","None"
"Site_106","3","3","1","65","62","Default","25","100","None","None"
"Site_1060","1","1","1","65","62","Default","25","100","None","None"
"Site_1060","2","2","1","65","62","Default","25","100","None","None"
"Site_1060","3","3","1","65","62","Default","25","100","None","None"
"Site_1061","1","1","1","65","62","Default","25","100","None","None"
"Site_1061","2","2","1","65","62","Default","25","100","None","None"
"Site_1061","3","3","1","65","62","Default","25","100","None","None"
"Site_1062","1","1","1","65","62","Default","25","100","None","None"
"Site_1062","2","2","1","65","62","Default","25","100","None","None"
"Site_1062","3","3","1","65","62","Default","25","100","None","None"
"Site_1063","1","1","1","65","62","Default","25","100","None","None"
"Site_1063","2","2","1","65","62","Default","25","100","None","None"
"Site_1063","3","3","1","65","62","Default","25","100","None","None"
"Site_1064","1","1","1","65","62","Default","25","100","None","None"
"Site_1064","2","2","1","65","62","Default","25","100","None","None"
"Site_1064","3","3","1","65","62","Default","25","100","None","None"
"Site_1065","1","1","1","65","62","Default","25","100","None","None"
"Site_1065","2","2","1","65","62","Default","25","100","None","None"
"Site_1065","3","3","1","65","62","Default","25","100","None","None"
"Site_1066","1","1","1","65","62","Default","25","100","None","None"
"Site_1066","2","2","1","65","62","Default","25","100","None","None"
"Site_1066","3","3","1","65","62","Default","25","100","None","None"
"Site_1067","1","1","1","65","62","Default","25","100","None","None"
"Site_1067","2","2","1","65","62","Default","25","100","None","None"
"Site_1067","3","3","1","65","62","Default","25","100","None","None"
